id,lane,status,eyebrow,title,body,fact_1,fact_2,fact_3,x_copy,x_characters,source,art,png
01-world-11-gear,01-world,LIVE,TOOLS OF THE TRADE,GEAR GETS USED. GEAR GETS LOST.,"Weapons, armor, ammunition, consumables and workshop upgrades connect to real risk.",Armory and workshop,Ammo and consumable pressure,Selected gear can reach the chain rail,"The armory is connected to the street: guns, armor, ammunition, consumables, repairs and workshop choices all answer to server-owned inventory and risk. Selected gear has a gated ERC-1155 extraction path.",204,SPEC.md §3.1 / §3.6,public/art/gun-undertaker.jpg,png/01-world/01-world-11-gear.png
01-world-12-seasons-collections,01-world,LIVE,THE LONG GAME,SEASONS END. HISTORY DOES NOT.,"League modifiers, collections, landmarks, clues and vanity give the city memory.",Seasonal league modifiers,The Collection and Clue Scrolls,Landmarks and vanity records,"Seasons change the field. Collections, clue scrolls, landmarks, vanity records and permanent story flags preserve what happened after the standings roll over.",158,SPEC.md §3.8 · long-term systems,public/art/crest.jpg,png/01-world/01-world-12-seasons-collections.png
02-economy-01-ledger,02-economy,LIVE,THE ACCOUNTING,EVERY DOLLAR HAS A HISTORY.,"The economy is a ledger, not a number in memory.",Transactions are append-only,Nightly conservation checks,One-cent drift is an alarm,"OMERTÀ treats accounting as gameplay infrastructure. Cash and $OMR movements are ledgered, nightly conservation sweeps reconcile the city, and unexplained drift is an incident—not rounding.",189,MARKETING.md §3.1 · ledger,public/art/hype-money-poster.jpg,png/02-economy/02-economy-01-ledger.png
02-economy-02-bank,02-economy,LIVE,THE BANK,MONEY IN TRANSIT CAN BE TAKEN.,Deposits and withdrawals do not teleport.,In-transit clearing,Daily movement caps,Exposure exists between endpoints,"Banking is not a safe instant menu. Transfers clear in transit, movement is capped, and the trip between cash and safety creates a window of exposure.",150,SPEC.md §3.1 / §3.7,public/art/interior-legit.jpg,png/02-economy/02-economy-02-bank.png
02-economy-03-arbitrage,02-economy,LIVE,TRADE GOODS,THE PRICES ARE SOLVABLE.,Daily district prices come from a published deterministic hash.,Buy low across districts,Travel and fees change the spread,Math beats guessing,"Trade-goods prices are a deterministic hash of the day and district. The spread is public. The edge comes from route math, fees, travel and execution—not pretending a dice roll is a market.",189,AGENTS.md · Arbitrage,public/art/interior-trade.jpg,png/02-economy/02-economy-03-arbitrage.png
02-economy-04-rackets,02-economy,LIVE,PASSIVE INCOME,OWN THE CORNER. PAY THE NUT.,Rackets accrue on your clock and attract pressure.,Scale tiers and business types,Upkeep and cold-state risk,Fortify or face rival raids,"Rackets accrue income lazily, but ownership has a carrying cost. Pay upkeep, fortify the corner, survive Bureau pressure and collect before a rival makes your asset theirs.",172,SPEC.md §3.8 · Territory,public/art/interior-empire.jpg,png/02-economy/02-economy-04-rackets.png
02-economy-05-business-empire,02-economy,LIVE,BUSINESS EMPIRE,THE FRONT HAS BOOKS.,Five upgradeable businesses turn laundering into an operating problem.,Private laundering routes,"Scrutiny, raids and shakedowns",Hostile takeover and the pad,"Five upgradeable fronts turn “going legit” into an operating game: capacity, private laundering, scrutiny, raids, shakedowns, the pad and hostile takeover. Tycoon is earned, not purchased.",188,SPEC.md §3.8 · Business Empire,public/art/business-hotel.jpg,png/02-economy/02-economy-05-business-empire.png
02-economy-06-kitchen,02-economy,LIVE,THE KITCHEN,COOK THE BATCH. CARRY THE RISK.,"Inputs, purity, yield, stealth, crews, wages and raids share one clock.",Cook → collect → deal,Careful · standard · flood,Offline crew sales carry a nut,"The Kitchen is a production business: source makings, tune purity/yield/stealth, cook on a server clock, collect, choose how aggressively to deal, pay the crew and survive Bureau raids.",185,SPEC.md §3.3 · The Kitchen,public/art/interior-kitchen.jpg,png/02-economy/02-economy-06-kitchen.png
02-economy-07-black-market,02-economy,LIVE,THE BLACK MARKET,OTHER PLAYERS SET THE OTHER SIDE.,"Auctions, reserves, anti-snipe clocks and buy orders create counterparties.",Car auctions with reserves,District-pinned goods,Open buy orders can be filled,"The Black Market is a player market: car auctions with reserves and anti-snipe protection, district-pinned goods and buy orders another player can actually fill.",161,SPEC.md §3.8 · Black Market,public/art/interior-market.jpg,png/02-economy/02-economy-07-black-market.png
02-economy-08-loans,02-economy,LIVE,THE SHYLOCK,PRICE THE RISK. TRADE THE PAPER.,"Credit can be directed, collateralized, defaulted and sold.",Loan offers and collateral,Welsher mark and WANTED pursuit,A secondary paper market,"Loan sharking is a market, not an NPC button. Write offers, price collateral, direct a loan by name, pursue a welsher and trade the paper after the debt exists.",160,SPEC.md §3.8 · Loan Sharking,public/art/interior-loans.jpg,png/02-economy/02-economy-08-loans.png
02-economy-09-convoys,02-economy,LIVE,CONVOYS,MOVE THE LOAD. DEFEND THE ROUTE.,"Bulk freight runs on a real clock with guards, tolls, insurance and ambush risk.",Player and NPC trucking,"Guards, insurance and tolls",Route notoriety changes the map,"Convoys move bulk freight through a hostile city. Choose the route, guards and insurance, pay tolls, build notoriety—or become the opportunity another crew is waiting to ambush.",177,SPEC.md §3.8 · Convoys,public/art/crime-truck.jpg,png/02-economy/02-economy-09-convoys.png
02-economy-10-port,02-economy,LIVE,THE PORT,THE WATER IS ANOTHER STREET.,"Boats, routes, contraband and piracy open a second logistics map.",Buy and upgrade boats,Interdiction and rendezvous,Berths and harbormaster tolls,"The Port adds boats, routes, upgrades, interdiction, piracy, rendezvous, contraband, berths and the harbormaster’s cut. Smuggling has geography and infrastructure.",163,SPEC.md §3.8 · The Port,public/art/interior-port.jpg,png/02-economy/02-economy-10-port.png
02-economy-11-estate-auctions,02-economy,LIVE,THE ESTATE,WEALTH NEEDS A HOME.,"Property, collections and player consignments turn prestige back into a market.",Estate progression,Auction House bidding,Player consignment,"The Estate is a wealth sink, a display surface and a market endpoint. The Auction House supports bidding and player consignment, so rare holdings can change hands without an admin inventing a price.",198,SPEC.md §3.8 · Estate / Auction House,public/art/interior-estate.jpg,png/02-economy/02-economy-11-estate-auctions.png
02-economy-12-portfolio,02-economy,LIVE / GATED RAILS,CAPITAL OWNERSHIP,THE BOOK OUTLIVES THE SCORE.,"Portfolio tiers, Family books, Street Deeds and the Megaproject connect wealth to power.",Dynasty Fund dividends,Street Deed ownership,The Megaproject coordinates capital,"OMERTÀ’s long capital game connects the Portfolio, Dynasty Fund, Family books, Street Deeds and the Megaproject. Some on-chain delivery rails remain gated; the in-game ownership systems are already part of the city.",215,SPEC.md §3.8 · capital systems,public/art/estate-6.jpg,png/02-economy/02-economy-12-portfolio.png
03-blood-law-01-wet-work,03-blood-law,LIVE,WET WORK,VIOLENCE HAS INTENT.,"A jump can be a robbery, a message or the beginning of a war.",Roll them or send a message,PvP resolves server-side,Consequences persist,"In OMERTÀ, “attack” is not one generic button. Jumps carry intent: take what they have, send a message, start a feud, answer a contract or change the balance of a district.",172,SPEC.md §3.2 · jumps,public/art/interior-pvp.jpg,png/03-blood-law/03-blood-law-01-wet-work.png
03-blood-law-02-contract-board,03-blood-law,LIVE,THE CONTRACT BOARD,A BOUNTY IS A POT.,"Contracts are funded, browsable and lifecycle-managed.",Kill and hospitalize terms,Directed and open contracts,Expiry and refund rules,"A hit contract is not flavor text. It is a funded pot with a target, terms, expiry, settlement and refund path. The board makes the city’s grudges liquid.",154,SPEC.md §3.2 · Contract Board,public/art/heist-corner.jpg,png/03-blood-law/03-blood-law-02-contract-board.png
03-blood-law-03-hitmen,03-blood-law,LIVE,THE HITMAN PATH,THE CITY TRACKS WHO FINISHES JOBS.,Player and NPC hitmen operate beside an account-level reputation ladder.,Player contract fulfillment,NPC professional tiers,Assassin reputation and streaks,"Players can become the weapon. OMERTÀ combines contract fulfillment, NPC hitmen and an account-level assassin reputation ladder where finished work follows the bloodline.",170,SPEC.md §3.2 · hitmen,public/art/hitman-professional.jpg,png/03-blood-law/03-blood-law-03-hitmen.png
03-blood-law-04-protection,03-blood-law,LIVE,PROTECTION,THE TARGET CAN HIRE BACK.,Bodyguards and hired guns turn defense into a two-sided labor market.,Two-party protection work,Fees and terms are explicit,Defense changes the attacker’s math,"The hunted are not passive content. Bodyguard and hired-gun markets let another player sell protection, change an attacker’s expected value and make survival somebody’s paid job.",178,SPEC.md §3.2 · bodyguards,public/art/gun-brothers.jpg,png/03-blood-law/03-blood-law-04-protection.png
03-blood-law-05-vendettas,03-blood-law,LIVE,BLOOD DEBTS,A GRUDGE CAN ESCALATE.,"Vendettas grow through tiers, sit-downs and a public blood-debt board.",Escalation tiers,The sit-down can settle it,Blood feuds become city history,"A fight can end—or harden into a vendetta. Escalation tiers, the sit-down and the blood-debt board turn repeated violence into diplomacy, leverage and inherited history.",169,SPEC.md §3.2 · vendettas,public/art/gun-brothers.jpg,png/03-blood-law/03-blood-law-05-vendettas.png
03-blood-law-06-safehouse,03-blood-law,LIVE,THE SAFEHOUSE,A SHIELD. NOT A BUNKER.,Protection blocks hostile action while also blocking liquidation routes.,Wealth-scaled cost,Daily cap,You cannot hide and cash out,"The safehouse is deliberately a shield, not a bunker. It can stop hostile action, but it also blocks routes that turn holdings into cash. Safety has opportunity cost.",166,SPEC.md §3.2 / §3.7,public/art/interior-den.jpg,png/03-blood-law/03-blood-law-06-safehouse.png
03-blood-law-07-death-estate,03-blood-law,LIVE,SERVER-SIDE DEATH,"WHEN THE BODY GOES, THE BOOKS OPEN.","Death resolves holdings, estate, succession and every unfinished liability.",The server closes the street,Estate rules settle ownership,Bloodline continuity survives,"Permadeath works only if the accounting survives it. OMERTÀ resolves death on the server, settles the estate and carries forward the liabilities and relationships the heir is meant to inherit.",192,SPEC.md §3.2 · death and estate,public/art/card-legend.jpg,png/03-blood-law/03-blood-law-07-death-estate.png
03-blood-law-08-rico,03-blood-law,LIVE,THE BUREAU,THE CASE BUILDS WHILE YOU PLAY.,"Heat becomes investigation, indictment, forfeiture and the possibility of the Pen.",Investigation meter,Bribes and retainers,Indictment and forfeiture,"The law is a progression system. Heat feeds an investigation meter; bribes and retainers buy room; indictment can reach the courtroom, forfeiture and prison. The Bureau remembers patterns.",188,SPEC.md §3.8 · Law / RICO,public/art/interior-law.jpg,png/03-blood-law/03-blood-law-08-rico.png
03-blood-law-09-courtroom,03-blood-law,LIVE,THE COURTROOM,PLEAD. PICK A JURY. GO TO TRIAL.,"Informants, witness protection and legal preparation change the case.",Plea and jury routes,Informants alter evidence,Witness protection removes targets,"An indictment is not a single jail roll. Plea, jury and trial routes interact with retainers, informants, witness protection and the evidence the Bureau assembled.",163,SPEC.md §3.8 · courtroom,public/art/crime-alderman.jpg,png/03-blood-law/03-blood-law-09-courtroom.png
03-blood-law-10-pen,03-blood-law,LIVE,THE PEN,PRISON IS ANOTHER GAME.,"The yard, factions, work, protection, contraband, punishment and breakouts continue the street.",Commissary · bribes · shank,The hole and yard incidents,Solo and co-op breakout,"Jail is a status. The Pen is a system: yard politics, work, commissary, protection, bribes, punishment, factions, the burner phone and solo or co-op breakout attempts.",167,SPEC.md §3.8 · The Pen,public/art/interior-pen.jpg,png/03-blood-law/03-blood-law-10-pen.png
03-blood-law-11-dueling,03-blood-law,LIVE,THE DUELING LADDER,SKILL GETS A RATING.,"ELO, divisions, weapon styles and a seasonal belt make direct combat legible.",Ranked ELO divisions,Weapon-style choices,A belt that must be defended,"The Dueling Ladder turns controlled violence into a ranked discipline: ELO, divisions, weapon styles and a seasonal belt make the best fighter answerable to the next challenger.",177,SPEC.md §3.8 · Dueling Ladder,public/art/game-ring.jpg,png/03-blood-law/03-blood-law-11-dueling.png
03-blood-law-12-risk-to-earn,03-blood-law,LIVE,RISK TO EARN,VALUE IS EXPOSED BECAUSE IT CAN MOVE.,Loot the living. Launder only where the route exists. Trade safety for access.,Holdings can be contested,Laundering is located,Risk creates player opportunity,"OMERTÀ’s economy is designed around exposure: loot the living, launder at a real location, move money through transit, and choose when protection is worth losing access to your own holdings.",190,SPEC.md §3.7 · Risk-to-Earn,public/art/crime-vaultjob.jpg,png/03-blood-law/03-blood-law-12-risk-to-earn.png
04-organizations-01-crews,04-organizations,LIVE,THE CREW,FOUR PLAYERS CAN BECOME A MACHINE.,"Crews organize work, recruiting, objectives and shared risk.","Found, invite and recruit","Promote, kick or leave",Weekly objectives scale with contributors,"A crew is the first real organization: recruit by name, assign trust, tackle shared objectives and build the working unit a future Family can depend on.",152,AGENTS.md · organization playbook,public/art/interior-family.jpg,png/04-organizations/04-organizations-01-crews.png
04-organizations-02-crew-heists,04-organizations,LIVE,CREW HEISTS,TWELVE JOBS. EVERYBODY HAS A ROLE.,"Casing, role fit, the inside job, the rat and the fence make co-op operational.",A 12-job ladder,Role-matched contribution,Notoriety follows the crew,"Crew heists are not a party-size checkbox. Twelve jobs ask for roles, casing and execution; the inside job, the rat and the fence can turn the same score into a different story.",177,SPEC.md §3.8 · Crew Heists,public/art/heist-vault.jpg,png/04-organizations/04-organizations-02-crew-heists.png
04-organizations-03-family,04-organizations,LIVE,THE FAMILY,A CREW WORKS. A FAMILY RULES.,"Treasury, ranks, contracts, turf and political standing turn a group into an institution.",Shared treasury and jobs,Ranks carry real authority,Family standing reaches the Commission,"A Family adds a treasury, command ranks, contracts, turf income, war bodies and Commission politics. It is not a guild chat. It is a government with books.",155,SPEC.md §3.2 / §3.8,public/art/interior-family.jpg,png/04-organizations/04-organizations-03-family.png
04-organizations-04-territory,04-organizations,LIVE,TERRITORY,THE MAP PAYS WHO HOLDS IT.,"Turf creates income, district perks, upkeep and a reason for rivals to organize.",Live district control,Fortification and upkeep,Specialists and special operations,"Territory makes the map economic. Control changes perks and income, but fortification, upkeep, Bureau pressure and rival raids make every claim a position to defend.",165,SPEC.md §3.8 · Territory,public/art/citymap.jpg,png/04-organizations/04-organizations-04-territory.png
04-organizations-05-wars,04-organizations,LIVE,FAMILY WAR,POLITICS ENDS. THE LEDGER CONTINUES.,"Wars move bodies, turf, treasury pressure and long-term relationships.",Formal war lifecycle,Turf can be seized,Blood War escalates the city,"Family wars are lifecycle-managed conflicts with stakes beyond a kill counter. Turf, treasury, bodies, treaties and future retaliation all survive the headline battle.",167,SPEC.md §3.2 / §3.8,public/art/landing-break.jpg,png/04-organizations/04-organizations-05-wars.png
04-organizations-06-commission,04-organizations,LIVE,THE COMMISSION,THE STRONGEST FAMILIES WRITE THE WEEK.,"Seasonal seats, decrees, proposals, deposits, vetoes and levies create city government.",Seats follow standing,Proposals carry deposits,"Veto, levy and override powers","The Commission turns seasonal Family standing into temporary political power. Seats can propose decrees, risk deposits, invoke vetoes, levy the city and face an override.",170,SPEC.md §3.8 · Commission,public/art/interior-scores.jpg,png/04-organizations/04-organizations-06-commission.png
04-organizations-07-diplomacy,04-organizations,LIVE,DIPLOMACY,NOT EVERY BORDER NEEDS A BULLET.,"Pacts and coalitions let organizations price peace, betrayal and common enemies.",Formal pacts,Coalition structures,Relationships survive leadership changes,"Diplomacy gives Families tools between silence and war: pacts, coalitions and negotiated alignment make trust a strategic asset—and betrayal a recorded one.",156,SPEC.md §3.8 · Diplomacy,public/art/crime-alderman.jpg,png/04-organizations/04-organizations-07-diplomacy.png
04-organizations-08-sovereignty,04-organizations,LIVE,SOVEREIGNTY,HOLD THE STRONGHOLD. SURVIVE THE SIEGE.,Organizations can push beyond turf into income-bearing control and city-scale resistance.,Strongholds and sieges,Sovereign income,The Uprising contests occupation,"Sovereignty raises the stakes from corners to strongholds. Sieges, income, NPC occupation, frontier pressure and The Uprising turn the city itself into a contested actor.",170,SPEC.md §3.8 · Sovereignty / Uprising,public/art/landing-break.jpg,png/04-organizations/04-organizations-08-sovereignty.png
04-organizations-09-recruiting,04-organizations,LIVE / CONDITIONAL,THE CAPO LICENSE,RECRUIT PEOPLE WHO STAY.,"Retained, minted, leveled human recruits improve agent capability; raw reach does not pay.",Street Captain · Capo · Underboss,Faster cadence at higher tiers,Cash claims require an approved budget,"OMERTÀ rewards qualified organization-building, not clicks. Retained, minted, level-8+ human recruits count toward the Capo License. Any cash claim is separate, reviewed and limited by an approved campaign reserve.",214,AGENTS.md · Capo’s License,public/art/card-join.jpg,png/04-organizations/04-organizations-09-recruiting.png
04-organizations-10-phone-broadcast,04-organizations,LIVE,THE CELLPHONE,THE CITY CAN CALL BACK.,DMs require contact. Blocks are durable. Broadcast cards turn player history into shareable proof.,"Inbox, DMs and blocked lines",Contact comes from interaction,Profiles and rivalry posters carry referrals,"The cellphone makes social access earned: establish contact before a DM, respect permanent blocks, and turn real player history into Broadcast cards, profiles and rivalry posters that carry attribution.",202,SPEC.md §3.4 / §3.8,public/art/card-join.jpg,png/04-organizations/04-organizations-10-phone-broadcast.png
04-organizations-11-wire-secrets,04-organizations,LIVE,THE WIRE,INFORMATION HAS A MARKET.,"Wiretaps, sweeps, dossiers, informants, blackmail and standing watches turn knowledge into power.",Bug trace and counter-sweeps,Dossiers and disinformation,Secrets can become leverage,"OMERTÀ has an information economy: wiretaps, sweeps, trace risk, dossiers, disinformation, informants, blackmail and standing watches. Sometimes the strongest move is knowing first.",181,SPEC.md §3.8 · Wire / Secrets,public/art/interior-wire.jpg,png/04-organizations/04-organizations-11-wire-secrets.png
04-organizations-12-marriage-soldiers,04-organizations,LIVE,THE INNER CIRCLE,LOYALTY GETS A NAME.,"Marriage, the consigliere and named soldiers create relationships that can permanently die.",Marriage changes the household,Consigliere is an office,Named soldiers carry permadeath,"Families are made of people, not slots. Marriage, the consigliere and named soldiers create durable household and command relationships—with permadeath when the city takes one of them.",184,SPEC.md §3.8 · social depth,public/art/interior-family.jpg,png/04-organizations/04-organizations-12-marriage-soldiers.png
05-vice-city-01-casino,05-vice-city,LIVE,THE CASINO,THE HOUSE HAS MANY ROOMS.,"Tables, tournaments, fights and racing all share one vice economy.",Craps · Numbers · blackjack,"Poker, fights and the Track",PvP and house games coexist,"The Casino is a network, not one slot machine: craps, Numbers, blackjack, back-room dice, poker, tournaments, weekly fights, THE TRACK and THE FUTURITY.",152,SPEC.md §3.8 · Casino,public/art/business-casino.jpg,png/05-vice-city/05-vice-city-01-casino.png
05-vice-city-02-tables,05-vice-city,LIVE,THE TABLES,THE ODDS ARE PART OF THE WORLD.,"Craps, Numbers, blackjack and back-room dice expose different risk and counterparty models.",House tables,Back-room PvP dice,Server-owned resolution,"Craps, Numbers, blackjack and back-room dice do not collapse into the same animation. Each table has its own risk, timing, bankroll and counterparty shape.",155,SPEC.md §3.8 · casino tables,public/art/game-dice.jpg,png/05-vice-city/05-vice-city-02-tables.png
05-vice-city-03-poker,05-vice-city,LIVE,POKER,THE CARDS REMEMBER THE TABLE.,"Heads-up hold’em, ring poker and a tournament bracket create multiple poker careers.",Heads-up play,Ring poker,Tournament and bracket,Poker in OMERTÀ runs from heads-up pressure to ring tables and a full tournament bracket. The cards are server-dealt; the reputation belongs to the player.,155,SPEC.md §3.8 · poker,public/art/game-poker.jpg,png/05-vice-city/05-vice-city-03-poker.png
05-vice-city-04-track,05-vice-city,LIVE,THE TRACK,BET THE HORSE. WATCH THE CIRCUIT.,THE TRACK and THE FUTURITY connect gambling to a persistent breeding and racing economy.,Race books and odds,THE FUTURITY,Stable performance feeds the market,"THE TRACK is the betting surface for a persistent horse economy. Form, training, breeding, circuit results and THE FUTURITY give the odds a world behind them.",158,SPEC.md §3.8 · Track / Futurity,public/art/game-track.jpg,png/05-vice-city/05-vice-city-04-track.png
05-vice-city-05-stable,05-vice-city,LIVE,THE STABLE,BUY. TRAIN. BREED. RACE.,"Horses carry development, lineage, match racing and stakes competition.",Training and breeding,Circuit and match races,THE STAKES and running in the card,"The Stable is a career: acquire a horse, train it, breed a line, enter the circuit, negotiate match races and chase THE STAKES. The asset has a history before the wager.",169,SPEC.md §3.8 · Stable,public/art/interior-stable.jpg,png/05-vice-city/05-vice-city-05-stable.png
05-vice-city-06-street-races,05-vice-city,LIVE,STREET RACES,TUNE THE CAR. RISK THE TITLE.,"PvE circuits, player wagers, nitrous, pink slips and THE GRAND PRIX make speed an economy.",Circuit and PvP wagers,Tuning and nitrous,Pink slips · Grand Prix · Wheel,"Street racing connects garage ownership to a competitive ladder: tune the car, choose the circuit or a player wager, burn nitrous, risk a pink slip and chase THE GRAND PRIX.",173,SPEC.md §3.8 · Street Races,public/art/interior-races.jpg,png/05-vice-city/05-vice-city-06-street-races.png
05-vice-city-07-boxing,05-vice-city,LIVE,THE FIGHTS,BUILD A BOXER. DEFEND THE BELT.,"Recruitment, training, exhibitions, mandatory defenses and parimutuel betting make the ring persistent.",Recruit and train fighters,Belt with mandatory defense,MAIN EVENT betting and callouts,"Boxing is a stable, a training loop and a public obligation. Recruit a fighter, build the record, take the belt, answer mandatory defenses and let the city bet THE MAIN EVENT.",175,SPEC.md §3.8 · Boxing,public/art/interior-gym.jpg,png/05-vice-city/05-vice-city-07-boxing.png
05-vice-city-08-speakeasy,05-vice-city,LIVE,THE SPEAKEASY,OWN THE NIGHT. SURVIVE THE RAID.,"Decor, rounds, tables, renown, buyouts and prohibition pressure make nightlife operable.",Open and upgrade a club,Back-room table and rounds,"Raids, standover and buyout","Open a club, upgrade the room, buy rounds, run the back table, build renown and survive prohibition raids. A rival can attempt a standover; a buyer can make an offer.",166,SPEC.md §3.8 · Speakeasy,public/art/interior-speakeasy.jpg,png/05-vice-city/05-vice-city-08-speakeasy.png
05-vice-city-09-living-world,05-vice-city,LIVE,THE LIVING WORLD,THE CITY MOVES WITHOUT WAITING.,"Forecasts, economic weather, the clock and public events change what the street is worth.",Visible day and night,Economic weather,City events and forecasts,"OMERTÀ has a visible city clock, forecasts, economic weather and public events. Markets, conflict and opportunity change even when your tab is closed.",150,SPEC.md §3.8 · Living World,public/art/hero-backdrop.jpg,png/05-vice-city/05-vice-city-09-living-world.png
05-vice-city-10-population,05-vice-city,LIVE,THE POPULATION,NPCs BEHAVE. NPCs RENEW.,"Residents, cartels and Families create demand, resistance and allies before the player count is full.",NPC residents take actions,Cartels and Families hold power,Population renews over time,"The city does not begin empty. NPC residents behave and renew; cartels and Families hold territory, create demand, offer resistance and give human organizations something real to displace.",188,SPEC.md §3.8 · Population,public/art/outfit-volkov.jpg,png/05-vice-city/05-vice-city-10-population.png
05-vice-city-11-clues-collections,05-vice-city,LIVE,THE HIDDEN CITY,CLUES BECOME A COLLECTION.,"Clue Scrolls, secrets, landmarks and collectibles reward looking sideways.",Clue Scroll chains,Landmark discovery,The Collection records rare history,"Not every valuable route appears on an earnings board. Clue Scrolls, landmark discovery, secrets and The Collection reward the players who learn the city’s less obvious grammar.",177,SPEC.md §3.8 · exploration systems,public/art/district-cathedral.jpg,png/05-vice-city/05-vice-city-11-clues-collections.png
05-vice-city-12-frontier,05-vice-city,LIVE,THE FRONTIER,THE CITY HAS AN OUTSIDE EDGE.,"Tribute, invasion, occupation and the war effort make the world larger than the six core districts.",Frontier tribute,NPC invasion and occupation,War effort and Uprising,"Beyond the core districts, the frontier can demand tribute, invade, occupy and pull the city into a war effort. THE UPRISING is how organized players answer.",157,SPEC.md §3.8 · frontier,public/art/district-foundry.jpg,png/05-vice-city/05-vice-city-12-frontier.png
