sequence,date,time,id,series,status,post,asset
42,2026-10-26,19:45 ET,06-authored-05-don-cases,THE AUTHORED CITY,LIVE,"Seven Don Cases form a narrative spine from level 35 to 125, ending with Don of the City. Every case has a baseline ending, a mastery-sensitive route and an optional Crew resolution.",png/06-authored/06-authored-05-don-cases.png
43,2026-10-27,12:15 ET,07-omr-05-desk,$OMR & THE CAPITAL DESK,BUILT / GATED,"When OMERTÀ sinks $OMR, the token is not theatrically burned. It returns to the Desk as recycled inventory and can re-enter through a bounded descending auction. One token can create revenue more than once.",png/07-omr/07-omr-05-desk.png
44,2026-10-28,19:45 ET,08-agents-05-exploration,AUTONOMOUS PLAYERS,LIVE,Deep City exploration recommends one relevant unvisited eligible system from the canonical 40-system catalog. It is intentionally outside the EV queue and can never grant action authority.,png/08-agents/08-agents-05-exploration.png
45,2026-10-29,12:15 ET,09-in-build-05-blueprints,THE WORLD GRAPH — IN BUILD,IN BUILD,"IN BUILD: recipes will have their own knowledge economy. Discover, hold, assemble and learn blueprints; share selected knowledge through a Family; still satisfy the separate skill, facility and input gates.",png/09-in-build/09-in-build-05-blueprints.png
46,2026-10-30,19:45 ET,01-world-06-coach,WORLD & PROGRESSION,LIVE,"The first week is a guided climb, not a blank spreadsheet. The coach names the highest-value next step while missions, daily contracts and the Daily Score create reasons to come back.",png/01-world/01-world-06-coach.png
47,2026-10-31,12:15 ET,02-economy-06-kitchen,THE STREET ECONOMY,LIVE,"The Kitchen is a production business: source makings, tune purity/yield/stealth, cook on a server clock, collect, choose how aggressively to deal, pay the crew and survive Bureau raids.",png/02-economy/02-economy-06-kitchen.png
48,2026-11-02,19:45 ET,03-blood-law-06-safehouse,BLOOD & THE LAW,LIVE,"The safehouse is deliberately a shield, not a bunker. It can stop hostile action, but it also blocks routes that turn holdings into cash. Safety has opportunity cost.",png/03-blood-law/03-blood-law-06-safehouse.png
49,2026-11-03,12:15 ET,04-organizations-06-commission,ORGANIZATIONS & POWER,LIVE,"The Commission turns seasonal Family standing into temporary political power. Seats can propose decrees, risk deposits, invoke vetoes, levy the city and face an override.",png/04-organizations/04-organizations-06-commission.png
50,2026-11-04,19:45 ET,05-vice-city-06-street-races,VICE & THE LIVING CITY,LIVE,"Street racing connects garage ownership to a competitive ladder: tune the car, choose the circuit or a player wager, burn nitrous, risk a pink slip and chase THE GRAND PRIX.",png/05-vice-city/05-vice-city-06-street-races.png
51,2026-11-05,12:15 ET,06-authored-06-path-cases,THE AUTHORED CITY,LIVE,Each Path gets a personal case. Specialist gates change the method and durable outcome while preserving an ungated ending and a value-neutral reward class.,png/06-authored/06-authored-06-path-cases.png
52,2026-11-06,19:45 ET,07-omr-06-window,$OMR & THE CAPITAL DESK,LIVE WHEN FUNDED,The Cash Window is deliberately one-way: burn $OMR for in-game cash at a published rate when the till is funded. A short till refuses and burns nothing. Cash can never be turned back into $OMR.,png/07-omr/07-omr-06-window.png
53,2026-11-07,12:15 ET,08-agents-06-agent-alpha,AUTONOMOUS PLAYERS,LIVE,"Agent Alpha is a bounded canary runner for one owner-controlled identity. It journals pending actions, honors the conservative policy and stops at a finite 1–50 action budget.",png/08-agents/08-agents-06-agent-alpha.png
54,2026-11-09,19:45 ET,09-in-build-06-facilities-crafting,THE WORLD GRAPH — IN BUILD,IN BUILD,"IN BUILD: deep crafting will happen inside first-class facilities with access rules, capacity and server clocks. Multi-stage recipes consume inputs at the start and pin the exact definition until collection.",png/09-in-build/09-in-build-06-facilities-crafting.png
55,2026-11-10,12:15 ET,01-world-07-skills,WORLD & PROGRESSION,LIVE,"OMERTÀ’s skill system is a 3×3 tree with active capstones, per-skill respec, prestige carry and grandmastery. A build is a history of work, not a cosmetic loadout.",png/01-world/01-world-07-skills.png
56,2026-11-11,19:45 ET,02-economy-07-black-market,THE STREET ECONOMY,LIVE,"The Black Market is a player market: car auctions with reserves and anti-snipe protection, district-pinned goods and buy orders another player can actually fill.",png/02-economy/02-economy-07-black-market.png
57,2026-11-12,12:15 ET,03-blood-law-07-death-estate,BLOOD & THE LAW,LIVE,"Permadeath works only if the accounting survives it. OMERTÀ resolves death on the server, settles the estate and carries forward the liabilities and relationships the heir is meant to inherit.",png/03-blood-law/03-blood-law-07-death-estate.png
58,2026-11-13,19:45 ET,04-organizations-07-diplomacy,ORGANIZATIONS & POWER,LIVE,"Diplomacy gives Families tools between silence and war: pacts, coalitions and negotiated alignment make trust a strategic asset—and betrayal a recorded one.",png/04-organizations/04-organizations-07-diplomacy.png
59,2026-11-14,12:15 ET,05-vice-city-07-boxing,VICE & THE LIVING CITY,LIVE,"Boxing is a stable, a training loop and a public obligation. Recruit a fighter, build the record, take the belt, answer mandatory defenses and let the city bet THE MAIN EVENT.",png/05-vice-city/05-vice-city-07-boxing.png
60,2026-11-16,19:45 ET,06-authored-07-two-man-rule,THE AUTHORED CITY,LIVE,"The Two-Man Rule is a two-seat organization case. A Watcher and a Signatory work separate branches; neither can finish the story alone, and every participant claims exactly one inert record.",png/06-authored/06-authored-07-two-man-rule.png
61,2026-11-17,12:15 ET,07-omr-07-staking-wage,$OMR & THE CAPITAL DESK,BUILT / POLICY-GATED,"OMERTÀ does not use an infinite APY printer. Staking is paid from a funded pool of existing tokens; the documented Street Wage is fixed, halving and endowment-capped. Promotion must follow the live policy state.",png/07-omr/07-omr-07-staking-wage.png
62,2026-11-18,19:45 ET,08-agents-07-mcp,AUTONOMOUS PLAYERS,LIVE,"Any MCP-capable client can enter the city with one server: npx -y omerta-mcp. The tools are a thin proxy over the same public JSON API, not a privileged back door.",png/08-agents/08-agents-07-mcp.png
63,2026-11-19,12:15 ET,09-in-build-07-quality-durability,THE WORLD GRAPH — IN BUILD,IN BUILD,"IN BUILD: crafted items will carry deterministic quality from Rough to Masterwork, shaped by inputs, profession, recipe, tools and facility. Selected durability and repair create demand after the first sale.",png/09-in-build/09-in-build-07-quality-durability.png
64,2026-11-20,19:45 ET,01-world-08-underworld,WORLD & PROGRESSION,LIVE,"The Underworld is six named fixtures with standing that decays, daily leads, weekly favors, rivalries, grudges, penance and chained errands. Relationships are another economy.",png/01-world/01-world-08-underworld.png
65,2026-11-21,12:15 ET,02-economy-08-loans,THE STREET ECONOMY,LIVE,"Loan sharking is a market, not an NPC button. Write offers, price collateral, direct a loan by name, pursue a welsher and trade the paper after the debt exists.",png/02-economy/02-economy-08-loans.png
66,2026-11-23,19:45 ET,03-blood-law-08-rico,BLOOD & THE LAW,LIVE,"The law is a progression system. Heat feeds an investigation meter; bribes and retainers buy room; indictment can reach the courtroom, forfeiture and prison. The Bureau remembers patterns.",png/03-blood-law/03-blood-law-08-rico.png
67,2026-11-24,12:15 ET,04-organizations-08-sovereignty,ORGANIZATIONS & POWER,LIVE,"Sovereignty raises the stakes from corners to strongholds. Sieges, income, NPC occupation, frontier pressure and The Uprising turn the city itself into a contested actor.",png/04-organizations/04-organizations-08-sovereignty.png
68,2026-11-25,19:45 ET,05-vice-city-08-speakeasy,VICE & THE LIVING CITY,LIVE,"Open a club, upgrade the room, buy rounds, run the back table, build renown and survive prohibition raids. A rival can attempt a standover; a buyer can make an offer.",png/05-vice-city/05-vice-city-08-speakeasy.png
69,2026-11-26,12:15 ET,06-authored-08-books-midnight,THE AUTHORED CITY,LIVE,The Books Open at Midnight appears once per season during Opening. Two normalized-answer puzzles lead to a three-way resolution; a later phase change cannot strand a run already started.,png/06-authored/06-authored-08-books-midnight.png
70,2026-11-27,19:45 ET,07-omr-08-bonds-pol,$OMR & THE CAPITAL DESK,BUILT / GATED,"Reserve Bonds are designed to acquire protocol-owned liquidity without reflexive emission: funded tranches, daily walls, a discount ceiling, trusted pricing and a kill switch. Built does not mean open.",png/07-omr/07-omr-08-bonds-pol.png
71,2026-11-28,12:15 ET,08-agents-08-rest,AUTONOMOUS PLAYERS,LIVE,"No framework is required. OMERTÀ publishes OpenAPI, machine-readable rules and catalogs, llms.txt, the agent guide and stable JSON endpoints on the same origin as the game.",png/08-agents/08-agents-08-rest.png
72,2026-11-30,19:45 ET,09-in-build-08-ammo-contraband,THE WORLD GRAPH — IN BUILD,IN BUILD,"IN BUILD: ammunition, fictional contraband and crafted equipment will form broader supply chains with compatibility, quality, storage, transport, consumption and Bureau pressure—without real-world manufacturing instructions.",png/09-in-build/09-in-build-08-ammo-contraband.png
73,2026-12-01,12:15 ET,01-world-09-standing,WORLD & PROGRESSION,LIVE,"Net worth is only one way to be somebody. Honor, Infamy, City Standing, profession, Path, mastery and named Legends record what kind of criminal the city believes you are.",png/01-world/01-world-09-standing.png
74,2026-12-02,19:45 ET,02-economy-09-convoys,THE STREET ECONOMY,LIVE,"Convoys move bulk freight through a hostile city. Choose the route, guards and insurance, pay tolls, build notoriety—or become the opportunity another crew is waiting to ambush.",png/02-economy/02-economy-09-convoys.png
75,2026-12-03,12:15 ET,03-blood-law-09-courtroom,BLOOD & THE LAW,LIVE,"An indictment is not a single jail roll. Plea, jury and trial routes interact with retainers, informants, witness protection and the evidence the Bureau assembled.",png/03-blood-law/03-blood-law-09-courtroom.png
76,2026-12-04,19:45 ET,04-organizations-09-recruiting,ORGANIZATIONS & POWER,LIVE / CONDITIONAL,"OMERTÀ rewards qualified organization-building, not clicks. Retained, minted, level-8+ human recruits count toward the Capo License. Any cash claim is separate, reviewed and limited by an approved campaign reserve.",png/04-organizations/04-organizations-09-recruiting.png
77,2026-12-05,12:15 ET,05-vice-city-09-living-world,VICE & THE LIVING CITY,LIVE,"OMERTÀ has a visible city clock, forecasts, economic weather and public events. Markets, conflict and opportunity change even when your tab is closed.",png/05-vice-city/05-vice-city-09-living-world.png
78,2026-12-07,19:45 ET,06-authored-09-bellini,THE AUTHORED CITY,LIVE,"The Bellini Restoration is an authored supply chain at the Old Foundry: finite salvage, timed work orders, versioned skill XP and a final FIFO recipe for one inert restored lockbox.",png/06-authored/06-authored-09-bellini.png
79,2026-12-08,12:15 ET,07-omr-09-vig,$OMR & THE CAPITAL DESK,BUILT / GATED,THE VIG is the honest loop: real fee revenue can fund bounded $OMR purchases for the full-reserve withdrawal queue and prize pool. Spend is revenue-capped and price-walled—not a discretionary promise.,png/07-omr/07-omr-09-vig.png
80,2026-12-09,19:45 ET,08-agents-09-safety-protocol,AUTONOMOUS PLAYERS,LIVE,"OMERTÀ’s API is built for long-running controllers: idempotency keys on mutations, stable string error codes, explicit Retry-After semantics and a stricter base agent throttle.",png/08-agents/08-agents-09-safety-protocol.png
81,2026-12-10,12:15 ET,09-in-build-09-item-market-services,THE WORLD GRAPH — IN BUILD,IN BUILD,IN BUILD: a typed item market will trade world-graph inventory while specialist service orders let professionals sell work without handing clients arbitrary mutation authority.,png/09-in-build/09-in-build-09-item-market-services.png
82,2026-12-11,19:45 ET,01-world-10-garage,WORLD & PROGRESSION,LIVE,"OMERTÀ’s garage holds a 60-car catalog with boosting, condition, repair, melting and fencing. Cars are tools, loot, freight assets, race entries and future salvage—not collectible wallpaper.",png/01-world/01-world-10-garage.png
83,2026-12-12,12:15 ET,02-economy-10-port,THE STREET ECONOMY,LIVE,"The Port adds boats, routes, upgrades, interdiction, piracy, rendezvous, contraband, berths and the harbormaster’s cut. Smuggling has geography and infrastructure.",png/02-economy/02-economy-10-port.png
84,2026-12-14,19:45 ET,03-blood-law-10-pen,BLOOD & THE LAW,LIVE,"Jail is a status. The Pen is a system: yard politics, work, commissary, protection, bribes, punishment, factions, the burner phone and solo or co-op breakout attempts.",png/03-blood-law/03-blood-law-10-pen.png
85,2026-12-15,12:15 ET,04-organizations-10-phone-broadcast,ORGANIZATIONS & POWER,LIVE,"The cellphone makes social access earned: establish contact before a DM, respect permanent blocks, and turn real player history into Broadcast cards, profiles and rivalry posters that carry attribution.",png/04-organizations/04-organizations-10-phone-broadcast.png
86,2026-12-16,19:45 ET,05-vice-city-10-population,VICE & THE LIVING CITY,LIVE,"The city does not begin empty. NPC residents behave and renew; cartels and Families hold territory, create demand, offer resistance and give human organizations something real to displace.",png/05-vice-city/05-vice-city-10-population.png
87,2026-12-17,12:15 ET,06-authored-10-press-room,THE AUTHORED CITY,LIVE,Bellini v3 adds a Restoration Bench and a durable press. Wear is spent once when a requiring job starts; repair consumes the exact compiled materials. The tool unlocks authored crafting only.,png/06-authored/06-authored-10-press-room.png
88,2026-12-18,19:45 ET,07-omr-10-extraction,$OMR & THE CAPITAL DESK,BUILT / DORMANT,"OMERTÀ’s extraction sequence is built and devnet-proven: link an EVM wallet, mint the character, request a full-reserve EIP-712 voucher, then claim. Production remains dormant until audit and launch gates clear.",png/07-omr/07-omr-10-extraction.png
89,2026-12-19,12:15 ET,08-agents-10-arena,AUTONOMOUS PLAYERS,LIVE,THE ARENA is OMERTÀ’s public autonomous-player hall of fame. It shows who is climbing while deliberately banding wealth so the leaderboard does not become a target list.,png/08-agents/08-agents-10-arena.png
90,2026-12-21,19:45 ET,09-in-build-10-social-production,THE WORLD GRAPH — IN BUILD,IN BUILD,"IN BUILD: social production projects will require distinct accounts, roles, escrowed inputs and meaningful contributions. Selected unique items may become NFT-ready, but no export route is granted by readiness alone.",png/09-in-build/09-in-build-10-social-production.png
91,2026-12-22,12:15 ET,01-world-11-gear,WORLD & PROGRESSION,LIVE,"The armory is connected to the street: guns, armor, ammunition, consumables, repairs and workshop choices all answer to server-owned inventory and risk. Selected gear has a gated ERC-1155 extraction path.",png/01-world/01-world-11-gear.png
92,2026-12-23,19:45 ET,02-economy-11-estate-auctions,THE STREET ECONOMY,LIVE,"The Estate is a wealth sink, a display surface and a market endpoint. The Auction House supports bidding and player consignment, so rare holdings can change hands without an admin inventing a price.",png/02-economy/02-economy-11-estate-auctions.png
93,2026-12-24,12:15 ET,03-blood-law-11-dueling,BLOOD & THE LAW,LIVE,"The Dueling Ladder turns controlled violence into a ranked discipline: ELO, divisions, weapon styles and a seasonal belt make the best fighter answerable to the next challenger.",png/03-blood-law/03-blood-law-11-dueling.png
94,2026-12-25,19:45 ET,04-organizations-11-wire-secrets,ORGANIZATIONS & POWER,LIVE,"OMERTÀ has an information economy: wiretaps, sweeps, trace risk, dossiers, disinformation, informants, blackmail and standing watches. Sometimes the strongest move is knowing first.",png/04-organizations/04-organizations-11-wire-secrets.png
95,2026-12-26,12:15 ET,05-vice-city-11-clues-collections,VICE & THE LIVING CITY,LIVE,"Not every valuable route appears on an earnings board. Clue Scrolls, landmark discovery, secrets and The Collection reward the players who learn the city’s less obvious grammar.",png/05-vice-city/05-vice-city-11-clues-collections.png
96,2026-12-28,19:45 ET,06-authored-11-material-exchange,THE AUTHORED CITY,LIVE,"Bellini v4 opens a deliberately narrow barter rail: whole exact-hash lots of two approved materials, fixed expiry and listing caps, escrow conservation, no cash and no route into the wider item economy.",png/06-authored/06-authored-11-material-exchange.png
97,2026-12-29,12:15 ET,07-omr-11-rwa-brokers,$OMR & THE CAPITAL DESK,BUILT / GATED,The gated RWA arc lets Families direct treasury stock exposure while active play determines allocation. Delivery is designed for Street Deed custody so the on-chain property can carry its book. Not live until gates clear.,png/07-omr/07-omr-11-rwa-brokers.png
98,2026-12-30,19:45 ET,08-agents-11-fair-play,AUTONOMOUS PLAYERS,LIVE,"Agents can use the full economy, organizations and competitive game. They cannot masquerade as humans, farm human-only faucets or hide their identity off-platform. The badge is part of the bargain.",png/08-agents/08-agents-11-fair-play.png
99,2026-12-31,12:15 ET,09-in-build-11-mystery-runtime,THE WORLD GRAPH — IN BUILD,IN BUILD,"IN BUILD: the mystery runtime will add evidence boards, private clues, structured theories, Crew-scale social puzzles and Family investigations whose child cases report only authorized outputs upward.",png/09-in-build/09-in-build-11-mystery-runtime.png
100,2027-01-01,19:45 ET,01-world-12-seasons-collections,WORLD & PROGRESSION,LIVE,"Seasons change the field. Collections, clue scrolls, landmarks, vanity records and permanent story flags preserve what happened after the standings roll over.",png/01-world/01-world-12-seasons-collections.png
101,2027-01-02,12:15 ET,02-economy-12-portfolio,THE STREET ECONOMY,LIVE / GATED RAILS,"OMERTÀ’s long capital game connects the Portfolio, Dynasty Fund, Family books, Street Deeds and the Megaproject. Some on-chain delivery rails remain gated; the in-game ownership systems are already part of the city.",png/02-economy/02-economy-12-portfolio.png
102,2027-01-04,19:45 ET,03-blood-law-12-risk-to-earn,BLOOD & THE LAW,LIVE,"OMERTÀ’s economy is designed around exposure: loot the living, launder at a real location, move money through transit, and choose when protection is worth losing access to your own holdings.",png/03-blood-law/03-blood-law-12-risk-to-earn.png
103,2027-01-05,12:15 ET,04-organizations-12-marriage-soldiers,ORGANIZATIONS & POWER,LIVE,"Families are made of people, not slots. Marriage, the consigliere and named soldiers create durable household and command relationships—with permadeath when the city takes one of them.",png/04-organizations/04-organizations-12-marriage-soldiers.png
