"group","title","position","text","asset","alt","weighted_length"
"02-reserve-desk","Capital with orders.","3","3/8 An independent OMERTÀ implementation inspired by Olympus range-bound stability.

Spending is capped. Recovery needs spaced observations and actual War Chest assets.

Cooldowns apply. Lifetime deployment limits stay consumed.","","","228"
"02-reserve-desk","Capital with orders.","4","4/8 A liquidity band has capacity. It can fill, reverse or be removed.

Crossing it does not permanently retire its inventory. A violent market can outrun finite reserves.

These are trading positions, not a promised price floor.","","","229"
"02-reserve-desk","Capital with orders.","5","5/8 Inventory bonds sell OMR already held by the contract in exchange for ETH.

Discounts and sale sizes are bounded. The full OMR entitlement is reserved at purchase.

No mint authority. No promised sellback.","png/06-inventory-bonds.png","Inventory bonds exchange ETH for already funded OMR inventory. The complete entitlement is reserved at purchase and vests over time. No mint authority or sellback guarantee.","209"
"02-reserve-desk","Capital with orders.","6","6/8 Bond notes vest linearly and cannot be transferred.

Already vested claims remain available if new sales pause, inventory runs out or the oracle becomes unavailable.

The sale desk can close. Existing claims keep their terms.","","","229"
"02-reserve-desk","Capital with orders.","7","7/8 Arbitrage uses the solver's ETH across two approved pools.

The atomic cycle must clear its profit threshold after swap fees, before gas. A fixed share goes to the reserve.

The solver budgets gas separately. Failed attempts can still cost gas.","png/07-arbitrage.png","A solver-funded atomic ETH to OMR to ETH cycle through the canonical and an approved alternative pool. A fixed share of realized trading profit, before gas costs, funds the reserve. Failed attempts can cost gas.","248"
"02-reserve-desk","Capital with orders.","8","8/8 The reserve desk has rules for spending, selling inventory and receiving realized arbitrage proceeds.

It still needs a funded release.

Market V2: built and tested locally. Not deployed or funded. No incentives are live from this build. @OmertaOnRH","","","253"
"03-turf-city","Control the Turf.","1","1/8 Control the Turf. Know what comes with it.

OMERTÀ Market V2 gives families rights to future funded LP fees. The liquidity principal stays outside family control.

Built and tested locally. Not deployed or funded.","png/03-turf-city.png","OMERTÀ Market V2. Control the Turf. A noir city model with district boundaries and family markers. Family fee rights, protocol-owned principal. Built and tested; not deployed.","217"
"03-turf-city","Control the Turf.","2","2/8 Turf is a fixed price range for a defined season. Its fee source is bound before that season starts.

The contract records which family holds the future fee entitlement. A family holds the rights; the protocol retains the principal.","png/08-fee-rights.png","Seasonal family fee entitlements are separate from liquidity principal. Families receive only their allocated funded LP fees and cannot remove the underlying capital.","236"
"03-turf-city","Control the Turf.","3","3/8 A takeover starts with the books.

The contracts collect and account for accrued fees before future rights change hands. Historical fees stay with their recorded recipients.

A new flag does not rewrite an old ledger.","","","221"
"03-turf-city","Control the Turf.","4","4/8 A siege has a deadline. Funded fees enter escrow, and the settlement rules divide what is actually there.

The defender and attacker recipients are frozen for that siege.

No outcome can award fees the contract never received.","","","230"
"03-turf-city","Control the Turf.","5","5/8 Up to four families can share a Turf entitlement under predetermined shares.

Corridors, fortification and loyalty carry bounded game state. They cannot multiply the fee balance.

Politics can change the split. It cannot change the sum.","","","240"
"03-turf-city","Control the Turf.","6","6/8 LP commitments put an actual canonical position NFT in custody for a finite term.

The original depositor can recover it at maturity even if rewards are exhausted, the oracle is stale or new commitments are paused.","","","218"
"03-turf-city","Control the Turf.","7","7/8 Commitment accounting measures sampled useful depth over time, using distinct fresh observations.

Rewards require a prefunded campaign and available budget. Raw liquidity alone earns no claim.

A commitment creates no unfunded promise.","","","240"
"03-turf-city","Control the Turf.","8","8/8 The settlement and custody contracts are built and tested locally. Not deployed or funded.

Production game integration remains ahead; this build activates no new Turf map or incentives.

The city has a treasury. Every claim needs an entry. @OmertaOnRH","","","256"
"standalone","s01-city-treasury","1","The city has a treasury.

OMERTÀ Market V2: seven capital compartments, funded inventory bonds and seasonal family fee rights.

Built and tested locally. Not deployed or funded.

The next chapter has a ledger.","png/01-city-treasury.png","The city has a treasury. OMERTÀ Market V2 announcement, with a miniature noir city inside an open bank vault. Built and tested; not deployed.","209"
"standalone","s02-tax-map","1","The canonical pool keeps its 9% base sell fee:
2% developer
1.6% RWA recipient
2.4% community
3% POL

A 0-1% extra sell surge funds stability. LP fees are separate.

OMERTÀ Market V2 is built and tested. Not deployed or funded.","png/04-tax-map.png","The 9% canonical base sell fee is split 2% developer, 1.6% RWA recipient, 2.4% community and 3% POL. An additional 0 to 1% sell surge goes to stability. LP fees are separate.","227"
"standalone","s03-reserve-desk","1","An empty War Chest cannot place an order.

OMERTÀ Market V2 gives reserve operations finite inventory, fixed limits and cooldowns. Recovery requires actual funding.

Built and tested locally. Not deployed or funded.","png/02-reserve-desk.png","Capital with orders. A noir treasury desk representing seven distinct capital compartments and finite budgets. OMERTÀ Market V2 is built and tested, not deployed.","215"
"standalone","s04-inventory-bonds","1","The bond desk sells what is already in the vault.

ETH buys a reserved claim on funded OMR inventory, vesting over time. No mint authority. No promised sellback.

OMERTÀ Market V2: built and tested locally. Not deployed or funded.","png/06-inventory-bonds.png","Inventory bonds sell already funded OMR for ETH, reserve the full entitlement at purchase and release it through linear vesting. No minting or sellback guarantee.","230"
"standalone","s05-arbitrage","1","Two pools. The solver's ETH. One atomic cycle.

OMERTÀ Market V2 routes a fixed share of realized trading profit, before gas, to the reserve. Competition still applies.

Built and tested locally. Not deployed or funded.","png/07-arbitrage.png","Solver-funded ETH to OMR to ETH arbitrage through two approved pools, with a fixed reserve share of realized trading profit before gas and an on-chain profit threshold.","219"
"standalone","s06-family-turf","1","A new flag does not rewrite an old ledger.

In OMERTÀ Market V2, a Turf takeover changes future funded LP fee rights. Historical fees stay with recorded recipients. Families cannot remove principal.

Built and tested. Not deployed or funded.","png/03-turf-city.png","Control the Turf. A noir city marked with family boundaries. Family fee rights are separate from protocol-owned liquidity principal. Built and tested; not deployed.","241"
